"sourceObjects_Organization.id","sourceObjects_Organization.name","sourceObjects_Location.name","originalCurrency","amountUSD"
"","","","",780683917
"","","","EUR",780683917
"","","","ISK",780683917
"","","Yemen","",780683917
"","","","CHF",780683917
"","","","SEK",780683917
"","","Syrian Arab Republic","",780683917
"","","","USD",780683917
"","","","KWD",780683917
"","","","CAD",780683917
"","","India","EUR",780683917
"","","","GBP",780683917
"","","","DKK",780683917
"","","Benin","KWD",780683917
"","","Burkina Faso","KWD",780683917
"","","Comoros","KWD",780683917
"","","Guinea","KWD",780683917
"","","Ethiopia","KWD",780683917
"","","Gambia","KWD",780683917
"","","Ghana","KWD",780683917
"","","Guinea-Bissau","KWD",780683917
"","","Kenya","KWD",780683917
"","","Madagascar","KWD",780683917
"","","Mali","KWD",780683917
"","","Mauritania","KWD",780683917
"","","Mozambique","KWD",780683917
"","","Niger","KWD",780683917
"","","Rwanda","KWD",780683917
"","","Senegal","KWD",780683917
"","","Sierra Leone","KWD",780683917
"","","Somalia","KWD",780683917
"","","Sudan","KWD",780683917
"","","Tanzania, United Republic of","KWD",780683917
"","","Chad","KWD",780683917
"","","Togo","KWD",780683917
"","","Tunisia","KWD",780683917
"","","Uganda","KWD",780683917
"","","Yemen","KWD",780683917
"","","Zambia","KWD",780683917
"","","Zimbabwe","KWD",780683917
"","","Iraq","EUR",780683917
"","","South Sudan","",780683917
"","","South Sudan","SSP",780683917
"","","Colombia","",780683917
"","","","NOK",780683917
"","","Jersey","GBP",780683917
"","","Pakistan","",780683917
"","","South Sudan","GBP",780683917
"","","Sudan","EUR",780683917
"","","Congo, The Democratic Republic of the","EUR",780683917
"","","","COP",780683917
"","","Austria","",780683917
"","","Nigeria","CAD",780683917
"","","Iraq","",780683917
"","","Cameroon","",780683917
"","","Saudi Arabia","",780683917
"","","Colombia","EUR",780683917
"","","","AUD",780683917
"4543","Private (individuals & organizations)","","GBP",380323648
"4543","Private (individuals & organizations)","","ZAR",380323648
"4543","Private (individuals & organizations)","","EUR",380323648
"4543","Private (individuals & organizations)","","CAD",380323648
"4543","Private (individuals & organizations)","","",380323648
"4543","Private (individuals & organizations)","","DKK",380323648
"4543","Private (individuals & organizations)","China","",380323648
"4543","Private (individuals & organizations)","Dominican Republic","",380323648
"4543","Private (individuals & organizations)","India","",380323648
"4543","Private (individuals & organizations)","Serbia","",380323648
"4543","Private (individuals & organizations)","Thailand","",380323648
"4543","Private (individuals & organizations)","Ukraine","",380323648
"4543","Private (individuals & organizations)","Belarus","USD",380323648
"4543","Private (individuals & organizations)","Argentina","USD",380323648
"4543","Private (individuals & organizations)","Ukraine","USD",380323648
"4543","Private (individuals & organizations)","Sri Lanka","USD",380323648
"4543","Private (individuals & organizations)","United Arab Emirates","",380323648
"4543","Private (individuals & organizations)","Thailand","USD",380323648
"4543","Private (individuals & organizations)","","USD",380323648
"4543","Private (individuals & organizations)","Armenia","",380323648
"4543","Private (individuals & organizations)","Egypt","",380323648
"4543","Private (individuals & organizations)","Argentina","",380323648
"4543","Private (individuals & organizations)","","KWD",380323648
"4543","Private (individuals & organizations)","","HKD",380323648
"4543","Private (individuals & organizations)","","THB",380323648
"4543","Private (individuals & organizations)","","CHF",380323648
"4543","Private (individuals & organizations)","","PHP",380323648
"4543","Private (individuals & organizations)","Chile","",380323648
"4543","Private (individuals & organizations)","Malaysia","",380323648
"4543","Private (individuals & organizations)","Philippines","",380323648
"4543","Private (individuals & organizations)","Uruguay","",380323648
"4543","Private (individuals & organizations)","Qatar","",380323648
"4543","Private (individuals & organizations)","","BRL",380323648
"4543","Private (individuals & organizations)","Indonesia","",380323648
"4543","Private (individuals & organizations)","Kazakhstan","",380323648
"4543","Private (individuals & organizations)","Colombia","",380323648
"4543","Private (individuals & organizations)","Mexico","",380323648
"4543","Private (individuals & organizations)","Lebanon","",380323648
"4543","Private (individuals & organizations)","Togo","",380323648
"4543","Private (individuals & organizations)","Brazil","",380323648
"4543","Private (individuals & organizations)","Pakistan","",380323648
"4543","Private (individuals & organizations)","South Africa","",380323648
"4543","Private (individuals & organizations)","","JPY",380323648
"4543","Private (individuals & organizations)","Nigeria","",380323648
"4543","Private (individuals & organizations)","Romania","",380323648
"4543","Private (individuals & organizations)","","NGN",380323648
"4543","Private (individuals & organizations)","Kenya","",380323648
"4543","Private (individuals & organizations)","","MXN",380323648
"4543","Private (individuals & organizations)","United Kingdom","USD",380323648
"4543","Private (individuals & organizations)","Venezuela, Bolivarian Republic of","",380323648
"4543","Private (individuals & organizations)","Germany","EUR",380323648
"4543","Private (individuals & organizations)","Croatia","",380323648
"4543","Private (individuals & organizations)","Myanmar","",380323648
"4543","Private (individuals & organizations)","Saudi Arabia","",380323648
"4543","Private (individuals & organizations)","Singapore","",380323648
"4543","Private (individuals & organizations)","Jamaica","",380323648
"4543","Private (individuals & organizations)","Ireland","",380323648
"4543","Private (individuals & organizations)","Netherlands","EUR",380323648
"4543","Private (individuals & organizations)","Peru","",380323648
"4543","Private (individuals & organizations)","Sri Lanka","",380323648
"4543","Private (individuals & organizations)","Italy","",380323648
"4543","Private (individuals & organizations)","United States","",380323648
"4543","Private (individuals & organizations)","Sweden","SEK",380323648
"4543","Private (individuals & organizations)","Colombia","COP",380323648
"4543","Private (individuals & organizations)","France","EUR",380323648
"4543","Private (individuals & organizations)","Mexico","MXN",380323648
"4543","Private (individuals & organizations)","Thailand","THB",380323648
"4543","Private (individuals & organizations)","Switzerland","CHF",380323648
"4543","Private (individuals & organizations)","Belgium","EUR",380323648
"4543","Private (individuals & organizations)","United Kingdom","GBP",380323648
"4543","Private (individuals & organizations)","Canada","CAD",380323648
"4543","Private (individuals & organizations)","Trinidad and Tobago","",380323648
"4543","Private (individuals & organizations)","United Arab Emirates","CHF",380323648
"4543","Private (individuals & organizations)","Lebanon","EUR",380323648
"4543","Private (individuals & organizations)","Lebanon","CHF",380323648
"4543","Private (individuals & organizations)","Oman","",380323648
"4543","Private (individuals & organizations)","Brazil","BRL",380323648
"4543","Private (individuals & organizations)","Kuwait","",380323648
"4543","Private (individuals & organizations)","Spain","EUR",380323648
"4543","Private (individuals & organizations)","Italy","EUR",380323648
"4543","Private (individuals & organizations)","Saudi Arabia","CHF",380323648
"4543","Private (individuals & organizations)","Kuwait","CHF",380323648
"4543","Private (individuals & organizations)","Switzerland","",380323648
"4543","Private (individuals & organizations)","Philippines","PHP",380323648
"4543","Private (individuals & organizations)","China","HKD",380323648
"4543","Private (individuals & organizations)","Korea, Democratic People's Republic of","KRW",380323648
"4543","Private (individuals & organizations)","Japan","JPY",380323648
"4543","Private (individuals & organizations)","Denmark","DKK",380323648
"4543","Private (individuals & organizations)","Kuwait","KWD",380323648
"4543","Private (individuals & organizations)","Germany","",380323648
"4543","Private (individuals & organizations)","United Kingdom","EUR",380323648
"4543","Private (individuals & organizations)","Japan","",380323648
"4543","Private (individuals & organizations)","Nigeria","NGN",380323648
"4543","Private (individuals & organizations)","","INR",380323648
"4543","Private (individuals & organizations)","United States","EUR",380323648
"4543","Private (individuals & organizations)","Qatar","EUR",380323648
"4543","Private (individuals & organizations)","Saudi Arabia","EUR",380323648
"4543","Private (individuals & organizations)","Oman","CHF",380323648
"4543","Private (individuals & organizations)","Hong Kong","",380323648
"4543","Private (individuals & organizations)","Korea, Republic of","",380323648
"4543","Private (individuals & organizations)","Syrian Arab Republic","",380323648
"4543","Private (individuals & organizations)","","AUD",380323648
"11250","Solidarity Response Fund","","",211148189
"10399","Thani Bin Abdullah Bin Thani Al-Thani Humanitarian Fund","","USD",87485583
"10399","Thani Bin Abdullah Bin Thani Al-Thani Humanitarian Fund","","",87485583
"10399","Thani Bin Abdullah Bin Thani Al-Thani Humanitarian Fund","Qatar","",87485583
"6789","European Union trust fund Bekou in CAR","","EUR",57029134
"4058","US Fund for UNICEF","","",55818571
"4058","US Fund for UNICEF","","USD",55818571
"4058","US Fund for UNICEF","United States","",55818571
"4058","US Fund for UNICEF","","DKK",55818571
"8773","Education Cannot Wait Fund","","",52549893
"8773","Education Cannot Wait Fund","","USD",52549893
"8773","Education Cannot Wait Fund","","COP",52549893
"8773","Education Cannot Wait Fund","Iraq","",52549893
"8773","Education Cannot Wait Fund","Colombia","",52549893
"8773","Education Cannot Wait Fund","","XOF",52549893
"3778","UNICEF National Committee/Germany","","USD",44678378
"3778","UNICEF National Committee/Germany","","",44678378
"3778","UNICEF National Committee/Germany","Germany","",44678378
"3778","UNICEF National Committee/Germany","","EUR",44678378
"4326","Bill and Melinda Gates Foundation","","",32411776
"4326","Bill and Melinda Gates Foundation","","USD",32411776
"5315","UNICEF National Committee/United Kingdom","","USD",31545453
"5315","UNICEF National Committee/United Kingdom","","",31545453
"5315","UNICEF National Committee/United Kingdom","Germany","",31545453
"5315","UNICEF National Committee/United Kingdom","","GBP",31545453
"7173","Education Above All Foundation","","",30344278
"1943","Global Fund to Fight AIDS, Tuberculosis and Malaria","","",24850320
"1943","Global Fund to Fight AIDS, Tuberculosis and Malaria","","SEK",24850320
"1239","Sheikh Abdullah Al-Nouri Charity Society","","KWD",22262559
"1239","Sheikh Abdullah Al-Nouri Charity Society","","",22262559
"9946","Agence Française de Développement","","EUR",18572433.4
"11341","Susan Thompson Buffet Foundation","","",17572728
"11341","Susan Thompson Buffet Foundation","United States","",17572728
"3779","UNICEF National Committee/Japan","","",15994585
"3779","UNICEF National Committee/Japan","Japan","",15994585
"3779","UNICEF National Committee/Japan","","JPY",15994585
"2987","Deutsche Gesellschaft für Internationale Zusammenarbeit","","EUR",15450746.5
"2987","Deutsche Gesellschaft für Internationale Zusammenarbeit","","",15450746.5
"2987","Deutsche Gesellschaft für Internationale Zusammenarbeit","Iraq","EUR",15450746.5
"2987","Deutsche Gesellschaft für Internationale Zusammenarbeit","Syrian Arab Republic","EUR",15450746.5
"4335","UNICEF National Committee/Denmark","","",14959949
"4335","UNICEF National Committee/Denmark","","DKK",14959949
"4539","UNICEF National Committee/Spain","","",11398168
"4539","UNICEF National Committee/Spain","Spain","",11398168
"4539","UNICEF National Committee/Spain","","EUR",11398168
"4495","GAVI Alliance","","",11307318
"4495","GAVI Alliance","","USD",11307318
"4495","GAVI Alliance","Global","",11307318
"4340","UNICEF National Committee/Norway","","",11299297
"4340","UNICEF National Committee/Norway","","NOK",11299297
"6068","Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF)","","QAR",10949904
"1713","Mastercard Foundation","","",10000001
"11346","Alwaleed Foundation","","",1e+07
"5352","UNICEF National Committee/Canada","Canada","",8410073
"5352","UNICEF National Committee/Canada","","",8410073
"5352","UNICEF National Committee/Canada","","CAD",8410073
"1829","Crown Agents","","",7872626
"1829","Crown Agents","South Sudan","",7872626
"1829","Crown Agents","","GBP",7872626
"4321","UNICEF National Committee/Sweden","","",7551081
"4321","UNICEF National Committee/Sweden","","SEK",7551081
"4337","UNICEF National Committee/France","","",7026653
"4337","UNICEF National Committee/France","","EUR",7026653
"2919","UNICEF National Committee/Netherlands","","",6650370
"2919","UNICEF National Committee/Netherlands","","USD",6650370
"30","Khalifa Bin Zayed Al Nahyan Foundation","Lebanon","AED",5136129
"30","Khalifa Bin Zayed Al Nahyan Foundation","Jordan","AED",5136129
"963","Paul G. Allen","","USD",3894094
"3020","UNICEF National Committee/Australia","","",3749296
"3020","UNICEF National Committee/Australia","","AUD",3749296
"4611","IKEA Foundation","","",3407515
"4611","IKEA Foundation","","EUR",3407515
"11249","King Baudouin Foundation.","","",3250000
"4311","UNICEF National Committee/Luxembourg","","",3006458
"4311","UNICEF National Committee/Luxembourg","","USD",3006458
"201","GlaxoSmithKline","","GBP",2806933
"201","GlaxoSmithKline","Colombia","",2806933
"3021","UNICEF National Committee/Switzerland","","",2684997
"3139","OPEC Fund for International Development","","",2400000
"3017","UNICEF National Committee/Italy","","",2090476
"3017","UNICEF National Committee/Italy","Italy","EUR",2090476
"3017","UNICEF National Committee/Italy","","EUR",2090476
"2630","Chemonics International Inc.","Syrian Arab Republic","",2e+06
"2940","UNICEF National Committee/Portugal","","",1925931
"3016","UNICEF National Committee/Finland","","",1860036
"10268","UN agencies and NGOs (details not yet provided)","Congo, The Democratic Republic of the","",1750085
"10268","UN agencies and NGOs (details not yet provided)","Somalia","",1750085
"10268","UN agencies and NGOs (details not yet provided)","Syrian Arab Republic","",1750085
"11245","Vital Strategies","","",1733923
"6547","Taiwan International Cooperation and Development Fund","Taiwan, Province of China","",1725000
"6547","Taiwan International Cooperation and Development Fund","","",1725000
"1630","Citigroup","","",1697371
"1635","Unilever","","GBP",1570827
"1635","Unilever","Bangladesh","GBP",1570827
"5757","BCIE","","",1553490
"2934","UNICEF National Committee/Belgium","","",1506818
"5681","LEGO Foundation","","",1250928
"5453","Ford Foundation","","",1025187
"5776","Africa Solidarity Trust Fund","","",1e+06
"10405","Swasia Charity Foundation","United States","",927840
"11984","Start Small Foundation","","",927092
"11184","OCP AFRICA","","",865249
"825","Friends of UNFPA","","",841726
"825","Friends of UNFPA","Denmark","",841726
"825","Friends of UNFPA","","DKK",841726
"6850","Medicor Foundation","","CHF",811029
"6850","Medicor Foundation","","USD",811029
"6850","Medicor Foundation","","",811029
"10110","Ole Kirk’s Foundation","","DKK",764071
"4109","Corporacion andina de fomento","","",700934
"12012","Airbnb","","",653286
"2935","UNICEF National Committee/Ireland","","",596527
"11315","Queen Silvia Foundation","Sweden","SEK",558618
"11315","Queen Silvia Foundation","","SEK",558618
"11315","Queen Silvia Foundation","","EUR",558618
"11476","EQUINOR","","NOK",552608
"11102","Fondation Chanel","France","EUR",550055
"1301","UNICEF National Committee/Poland","","",528874
"12009","Ferrovial","","EUR",524959
"13","UNICEF National Committee/New Zealand","","",522260
"11318","Spotlight Initiative","","",511337
"5174","Rockefeller Foundation","","",5e+05
"5417","Novartis","","",499690
"12007","H&M Foundation","Sweden","SEK",485554
"10816","BlackRock, Inc.","","USD",443012
"10055","Gilead Sciences Inc","","",440000
"4334","UNICEF National Committee/Austria","","",417748
"3043","UNICEF National Committee/Korea (Republic of)","","",405474
"10358","Hilti Foundation","","CHF",400400
"4338","UNICEF National Committee/Hong Kong","","",390847
"5300","UNICEF National Committee/Czech Republic","","",384301
"1199","UNICEF National Committee/Indonesia","","",378267
"6851","Canadian Coalition","Canada","CAD",373166
"5542","ExxonMobil","","",3e+05
"2879","NIRAS","","",3e+05
"2879","NIRAS","South Sudan","",3e+05
"2817","Abt Associates","Colombia","",297066
"10353","Leopold Bachmann Foundation","","CHF",294244
"8939","Humanity United","South Sudan","",280513
"3844","Pan American Development Foundation","","",269000
"8857","DOB Foundation","Colombia","",267857
"1196","UNICEF National Committee/Malaysia","","",262506
"10124","South32","","",250000
"5382","UBS","","",248300
"298","Clinton Health Access Initiative","","",243761
"4215","EO Metterdaad","Iraq","EUR",228718
"2936","UNICEF National Committee/Slovenia","","",228047
"7454","Syrian Humanitarian Institute for National Empowerment","Syrian Arab Republic","",226340
"154","Procter & Gamble Inc.","","",225519
"11571","ELMA Relief Foundation","","EUR",204950
"11571","ELMA Relief Foundation","","",204950
"2709","Cisco Foundation","Colombia","",203568
"3498","UPS Foundation","","",2e+05
"3822","Stromme Foundation","South Sudan","",198954
"2965","Conrad N. Hilton Foundation","","EUR",185637
"497","Chaine du Bonheur","","CHF",158148
"10817","Bolton Group","","USD",157060
"8803","Ruedi Lüthy Foundation","Zimbabwe","CHF",154340
"3274","UNICEF National Committees","","",148925
"3274","UNICEF National Committees","Thailand","",148925
"3274","UNICEF National Committees","Philippines","",148925
"3274","UNICEF National Committees","Malaysia","",148925
"3274","UNICEF National Committees","Ecuador","",148925
"10122","Nous Cims","","EUR",144206
"4939","UNICEF National Committee/Iceland","","",144125
"10951","Humanitarian Relief Society","","",126000
"12023","UEFA Foundation for Children","","EUR",123376
"6416","Novo Nordisk","","DKK",112585
"4341","UNICEF National Committee/Turkey","","",110449
"4381","UN Foundation","","USD",105531
"4381","UN Foundation","","",105531
"11508","Brooke-Action for Working Horses & Donkeys","","",103640
"1684","PepsiCo Foundation","","",1e+05
"10123","TechnipFMC","","",1e+05
"1327","Stavros Niarchos Foundation","","EUR",80000
"3838","Diocese of Rumbek","South Sudan","",80000
"10270","Frantz Hoffman Foundation","","DKK",76150
"8867","Radiohjälpen (Radio Aid Sweden)","","SEK",73045
"5661","Bloomberg","","",67454
"2775","William and Flora Hewlett Foundation","","",60000
"11572","AGIR Foundation","","EUR",58754
"1941","John D. and Catherine T. MacArthur Foundation","","USD",52565
"1195","UNICEF National Committee/Saudi Arabia","","",50000
"11616","Mott MacDonald","","",50000
"5658","Sony","","",50000
"12016","The St. Augustine Foundation","","DKK",49099
"2896","UNICEF National Committee/Slovakia","","",48580
"11540","AGCO Agriculture Foundation","","",45000
"12015","Fundación Emilio Moro","","EUR",43236
"2287","UNICEF National Committee/Andorra","","",36355
"5590","Cummins Foundation","","",35285
"9296","The Nando and Elsa Peretti Foundation","","EUR",34091
"6169","World Jewish Relief","Bangladesh","GBP",31526
"1774","Deutsche Bank AG","","",27473
"11972","Discovery Rise","Colombia","",24985
"11541","Evangelical youth organization in Württemberg","","",23000
"4933","Baha'i International Community","","USD",20000
"11345","PandemicTech","","",20000
"12020","Fonto de  Vivo","","EUR",18773
"11870","SÉNÉO-le service public de l'eau","","EUR",18204
"11316","WHAM Foundation","United Kingdom","EUR",16287
"4709","Centre for Humanitarian Dialogue","","EUR",12773
"1657","United Nations Foundation","","",10368
"1201","UNICEF National Committee/Chile","","",10352
"1200","UNICEF National Committee/Mexico","","",6673
"12008","Fundación VINCI","","EUR",4798
"4203","UNICEF National Committee/Israel","","",2000
